"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 10 02:25:21 GMT 2023","Sat Jun 10 02:25:21 GMT 2023","353","","","","","","Get Product by ID",""
"passed","Sat Jun 10 01:00:14 GMT 2023","Sat Jun 10 01:00:14 GMT 2023","138","","","","","","Edit a Category",""
"passed","Sat Jun 10 02:25:19 GMT 2023","Sat Jun 10 02:25:19 GMT 2023","245","","","","","","Create Category",""
"passed","Sat Jun 10 02:25:18 GMT 2023","Sat Jun 10 02:25:19 GMT 2023","562","","","","","","Product Creation",""
"passed","Sat Jun 10 02:25:20 GMT 2023","Sat Jun 10 02:25:20 GMT 2023","115","","","","","","Get Categories",""
"passed","Sat Jun 10 02:25:20 GMT 2023","Sat Jun 10 02:25:21 GMT 2023","348","","","","","","GET a category using an ID",""
"passed","Sat Jun 10 02:25:20 GMT 2023","Sat Jun 10 02:25:20 GMT 2023","702","","","","","","Edit an existing product",""
"passed","Sat Jun 10 02:25:18 GMT 2023","Sat Jun 10 02:25:18 GMT 2023","505","","","","","","Authentication using Valid Credentials",""
"passed","Sat Jun 10 02:25:21 GMT 2023","Sat Jun 10 02:25:21 GMT 2023","115","","","","","","Get Products",""
"passed","Sat Jun 10 02:25:19 GMT 2023","Sat Jun 10 02:25:20 GMT 2023","551","","","","","","Edit Category",""
